"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 14 10:46:51 UTC 2026","Sat Mar 14 10:46:52 UTC 2026","503","Surefire suite","Surefire test","com.api.test.datadriven.LoginAPIExcelDataDrivenTest","com.api.test.datadriven.LoginAPIExcelDataDrivenTest","loginAPITest","Verifying if login is working for FD user with multiple users",""
"passed","Sat Mar 14 10:46:53 UTC 2026","Sat Mar 14 10:46:54 UTC 2026","629","Surefire suite","Surefire test","com.api.test.datadriven.CreateJobAPIDataDrivenTest","com.api.test.datadriven.CreateJobAPIDataDrivenTest","createJobAPITest","Verify if the create API is able to create Inwarranty job",""
"failed","Sat Mar 14 10:46:54 UTC 2026","Sat Mar 14 10:46:55 UTC 2026","548","Surefire suite","Surefire test","com.api.test.datadriven.CreateJobAPIDBDateDrivenTest","com.api.test.datadriven.CreateJobAPIDBDateDrivenTest","createJobAPITest","Verify if the create API is able to create Inwarranty job",""
"failed","Sat Mar 14 10:46:56 UTC 2026","Sat Mar 14 10:46:56 UTC 2026","481","Surefire suite","Surefire test","com.api.test.datadriven.LoginAPIDataDrivenTest","com.api.test.datadriven.LoginAPIDataDrivenTest","loginAPITest","Verifying if login is working for FD user",""
"failed","Sat Mar 14 10:46:54 UTC 2026","Sat Mar 14 10:46:55 UTC 2026","565","Surefire suite","Surefire test","com.api.test.datadriven.CreateJobAPIDBDateDrivenTest","com.api.test.datadriven.CreateJobAPIDBDateDrivenTest","createJobAPITest","Verify if the create API is able to create Inwarranty job",""
"passed","Sat Mar 14 10:46:52 UTC 2026","Sat Mar 14 10:46:53 UTC 2026","609","Surefire suite","Surefire test","com.api.test.datadriven.CreateJobAPIFakeDataDrivenTest","com.api.test.datadriven.CreateJobAPIFakeDataDrivenTest","createJobAPITest","Verify if the create API is able to create Inwarranty job",""
"passed","Sat Mar 14 10:46:56 UTC 2026","Sat Mar 14 10:46:57 UTC 2026","575","Surefire suite","Surefire test","com.api.test.datadriven.CreateJobJsonAPIDateDrivenTest","com.api.test.datadriven.CreateJobJsonAPIDateDrivenTest","createJobAPITest","Verify if the create API is able to create Inwarranty job",""
"passed","Sat Mar 14 10:46:52 UTC 2026","Sat Mar 14 10:46:52 UTC 2026","491","Surefire suite","Surefire test","com.api.test.datadriven.LoginAPIJSONDataDrivenTest","com.api.test.datadriven.LoginAPIJSONDataDrivenTest","loginAPITest","Verifying if login is working for FD user",""
"failed","Sat Mar 14 10:46:55 UTC 2026","Sat Mar 14 10:46:55 UTC 2026","550","Surefire suite","Surefire test","com.api.test.datadriven.CreateJobAPIExcelDateDrivenTest","com.api.test.datadriven.CreateJobAPIExcelDateDrivenTest","createJobAPITest","Verify if the create API is able to create Inwarranty job",""
"passed","Sat Mar 14 10:46:52 UTC 2026","Sat Mar 14 10:46:52 UTC 2026","495","Surefire suite","Surefire test","com.api.test.datadriven.LoginAPIJSONDataDrivenTest","com.api.test.datadriven.LoginAPIJSONDataDrivenTest","loginAPITest","Verifying if login is working for FD user",""
